SurveyIDR12,SiteID,Mean20m,Mean40m,Detected20,Detected40,NMPresent,TotalMiner20,TotalMiner40,MeanMiner20m,MeanMiner40m,Threshold20m,Threshold40m,NumberOFRepeats
IG2_SpringL_2021,IG2,49.5,71,32,41,1,13,13,6.5,6.5,1,0,2
IG2_Summer_2019,IG2,49,81.5,24,34,1,4,10,2,5,0,0,2
IG2_Summer_2020,IG2,36.5,50,18,25,1,7,7,3.5,3.5,1,0,2
IG2_Summer_2021,IG2,51.5,77.5,32,44,1,0,3,0,1.5,0,0,2
IG2_Winter_2019,IG2,35,95.5,19,22,1,15,48,7.5,24,1,1,2
IG2_Winter_2020,IG2,70,105.5,22,26,1,6,8,3,4,1,0,2
IG2_Winter_2021,IG2,69.5,91.5,29,31,1,14,17,7,8.5,1,1,2
RC1_Autumn_2021,RC1,67,96.5,31,31,0,0,0,0,0,0,0,2
RC1_SpringE_2020,RC1,27.5,41,20,23,0,0,0,0,0,0,0,2
RC1_SpringL_2019,RC1,33.5,53,25,37,1,3,4,1.5,2,0,0,2
RC1_SpringL_2020,RC1,33,51,20,24,0,0,0,0,0,0,0,2
RC1_SpringL_2021,RC1,45,63.5,27,27,0,0,0,0,0,0,0,2
RC1_Summer_2020,RC1,51,71.5,23,24,0,0,0,0,0,0,0,2
RC1_Summer_2021,RC1,57,83.5,33,33,0,0,0,0,0,0,0,2
RC1_Winter_2019,RC1,67.5,123,32,36,1,13,13,6.5,6.5,1,0,2
RC1_Winter_2020,RC1,30.5,43,18,21,1,13,14,6.5,7,1,1,2
RC1_Winter_2021,RC1,66.5,96.5,35,36,0,0,0,0,0,0,0,2
RC2_Autumn_2021,RC2,55.5,84,29,31,0,0,0,0,0,0,0,2
RC2_SpringE_2020,RC2,44,75.5,23,25,0,0,0,0,0,0,0,2
RC2_SpringL_2019,RC2,43,63,31,36,1,1,1,0.5,0.5,0,0,2
RC2_SpringL_2020,RC2,47.5,77.5,25,28,0,0,0,0,0,0,0,2
RC2_SpringL_2021,RC2,44.5,68,29,30,0,0,0,0,0,0,0,2
RC2_Summer_2020,RC2,45.5,70.5,24,26,0,0,0,0,0,0,0,2
RC2_Summer_2021,RC2,58.5,79,29,31,0,0,0,0,0,0,0,2
RC2_Winter_2019,RC2,53.5,105,27,31,1,1,5,0.5,2.5,0,0,2
RC2_Winter_2020,RC2,44.5,69,24,27,0,0,0,0,0,0,0,2
RC2_Winter_2021,RC2,69.5,101.5,27,27,0,0,0,0,0,0,0,2
RC3_Autumn_2021,RC3,65.5,123.5,28,31,0,0,0,0,0,0,0,2
RC3_SpringE_2020,RC3,80.5,122,25,30,0,0,0,0,0,0,0,2
RC3_SpringL_2019,RC3,21.5,42.5,16,26,1,0,2,0,1,0,0,2
RC3_SpringL_2020,RC3,74,127.5,21,28,0,0,0,0,0,0,0,2
RC3_SpringL_2021,RC3,54,83,30,34,0,0,0,0,0,0,0,2
RC3_Summer_2020,RC3,57,98.5,22,27,0,0,0,0,0,0,0,2
RC3_Summer_2021,RC3,71,95,33,36,0,0,0,0,0,0,0,2
